Designator,Mid X,Mid Y,Rotation,Layer
/INA0,142.7861,-84.6836,90.0,top
/INB0,132.6261,-84.6836,90.0,top
/LRCK0,140.2461,-113.8936,180.0,top
/MCLK0,145.3261,-97.3836,180.0,top
/OUTA0,155.4861,-85.0011,90.0,top
/OUTB0,145.3261,-85.0011,90.0,top
/RESET0,134.5311,-103.7336,0.0,top
/SCL0,135.1661,-105.0036,270.0,top
/SCLK0,137.7061,-108.1786,270.0,top
/SDA0,136.4361,-106.2736,270.0,top
/SDIN0,135.1661,-120.8786,180.0,top
/SDOUT0,137.7061,-120.8786,180.0,top
@HOLE0,187.5536,-141.5161,0.0,top
@HOLE1,109.4486,-141.5161,0.0,top
C1,144.6911,-94.8436,270.0,bottom
C10,139.6111,-84.6836,0.0,bottom
C11,139.6111,-86.5886,0.0,bottom
C12,135.8011,-84.6836,180.0,bottom
C13,135.8011,-86.5886,180.0,bottom
C14,152.3111,-85.0011,0.0,bottom
C15,154.8511,-82.1436,270.0,bottom
C16,148.5011,-85.0011,180.0,bottom
C17,145.9611,-82.1436,270.0,bottom
C2,146.5961,-94.8436,270.0,bottom
C3,144.0561,-104.0511,0.0,bottom
C35,175.1711,-83.4136,90.0,bottom
C36,165.6461,-83.4136,90.0,bottom
C38,165.0111,-129.7686,270.0,bottom
C39,174.5361,-129.7686,270.0,bottom
C4,134.5311,-91.0336,90.0,bottom
C41,144.6911,-129.7686,270.0,bottom
C42,154.2161,-129.7686,270.0,bottom
C43,151.3586,-92.9386,270.0,bottom
C44,159.9311,-83.4136,90.0,bottom
C45,125.0061,-137.3886,0.0,bottom
C46,140.2461,-137.3886,0.0,bottom
C47,149.4536,-91.0336,90.0,bottom
C5,132.6261,-91.0336,90.0,bottom
C6,134.5311,-94.8436,270.0,bottom
C63,157.3911,-92.6211,270.0,bottom
C7,132.6261,-95.4786,270.0,bottom
C8,144.6911,-91.0336,90.0,bottom
C88,154.5336,-95.4786,180.0,bottom
C9,146.5961,-90.3986,90.0,bottom
E1,175.3441,-73.8886,270.0,top
E2,175.3441,-136.1186,270.0,top
E3,155.0241,-136.1186,270.0,top
J-IN0,137.7061,-71.8886,180.0,bottom
J-OUT0,150.4061,-71.8886,180.0,bottom
J3,180.2511,-98.6536,90.0,bottom
L3,154.5336,-89.7636,180.0,bottom
Q1,144.0561,-100.5586,0.0,bottom
R1,147.8661,-100.5586,270.0,bottom
R10,134.8486,-82.1436,90.0,bottom
R11,152.3111,-83.0961,180.0,bottom
R12,152.3111,-81.5086,180.0,bottom
R13,148.5011,-83.0961,0.0,bottom
R14,148.5011,-81.5086,0.0,bottom
R15,129.4511,-92.3036,270.0,bottom
R2,169.4561,-83.4136,270.0,bottom
R26,167.5511,-83.4136,270.0,bottom
R28,173.2661,-83.4136,270.0,bottom
R29,171.3611,-83.4136,270.0,bottom
R3,170.7261,-129.7686,90.0,bottom
R32,172.6311,-129.7686,90.0,bottom
R34,166.9161,-129.7686,90.0,bottom
R35,168.8211,-129.7686,90.0,bottom
R38,152.3111,-129.7686,90.0,bottom
R4,150.4061,-129.7686,90.0,bottom
R40,146.5961,-129.7686,90.0,bottom
R41,148.5011,-129.7686,90.0,bottom
R44,163.7411,-83.4136,90.0,bottom
R45,161.8361,-83.4136,270.0,bottom
R46,125.0061,-133.5786,0.0,bottom
R47,125.0061,-135.4836,180.0,bottom
R48,140.2461,-133.5786,0.0,bottom
R49,140.2461,-135.4836,180.0,bottom
R7,140.5636,-82.1436,90.0,bottom
R8,138.9761,-82.1436,90.0,bottom
R9,136.4361,-82.1436,90.0,bottom
SW1,163.1061,-73.8886,180.0,top
SW2,117.3861,-136.1186,180.0,top
SW3,132.6261,-136.1186,180.0,top
U$1,148.5011,-104.8071,180.0,top
U1,139.6111,-92.9386,0.0,bottom
U11,154.5336,-92.9386,270.0,bottom
X1,158.5461,-93.3906,180.0,top
